name,price,image,part_number,model_number
Apple A1502 Macbook Pro 13-inch retina early 2015 replacement laptop battery,Dhs. 230.00,,,
"MM02XL HP Pavilion 13-AN0007TU, Pavilion 13-AN0047TU HSTNN-DB8U HSTNN-IB8Q Laptop Replacement Battery",Dhs. 210.00,,,
RC30-0248 Razer Blade 15 2018 Advanced RZ09-02385 RZ09-02386 RZ09-02886 Series 4ICP4/55/162 Replacement Laptop Battery,Dhs. 440.00,,,
Dell Inspiron 1564 1764 9JJGJ JKVC5 NKDWV 11.1V 4400mAh 6-Cell Replacement Laptop Battery,Dhs. 82.00,,,
11.46V 27Wh 01AV406 Lenovo ThinkPad T460s T470s Series Notebook 01AV405 01AV408 SB10J79003 SB10J79005 Replacement Laptop Battery,Dhs. 230.00,,,
10.8V 47wh MU06 Laptop Battery compatible with HP Pavilion G4 G6 G7 CQ42 CQ32 G42 CQ43 CQ62 G32 DV6 DM4 G72 593562-001,Dhs. 75.00,,,
"Dell Alienware M15 R2, M17 R2 Series Y9M6F YM9KC Replacement Laptop Battery",Dhs. 500.00,,,
"HP Battery OM03XL for HP EliteBook X360 1030 G2 HSTNN-IB70 (863280-855, 863167-1B1)",Dhs. 200.00,,,
C41N1541 Asus ROG Strix GL702V GL702VM GL702VT Series Replacement Laptop Battery,Dhs. 310.00,,,
PA5184U-1BRS PA5185U-1BRS PA5186U-1BRS PA5195U-1BRS Toshiba Satellite C55 C55D C55T L55 Laptop Battery,Dhs. 160.00,,,
"01AV434 Lenovo ThinkPad New S1 2018(20LK0000CD), ThinkPad New S1 2018(20LK0006CD) Replacement Laptop Battery",Dhs. 290.00,,,
"L18C4PF3 Lenovo IdeaPad C340-14API 81N6009EGE, IdeaPad C340-14API 81N600A7GE Replacement Laptop Battery",Dhs. 280.00,,,
"Replacement SR03XL HP Envy X360 Series, Envy 17-BW0000NA, Pavilion 15-CX0026TX Laptop Battery",Dhs. 200.00,,,
A32N1405 Asus G551 GL551V G551J G551JM G551JW G551JW-CN042H Replacement Laptop Battery,Dhs. 190.00,,,
"Dell Inspiron 3421 5421 15-3521 5521 3721 (MR90Y, XCMRD, 0FW1MN) Replacement  Laptop Battery",Dhs. 72.00,,,
Genuine Dell Inspiron 13 (7373) 2-in-1l Inspiron 13 (5370/7370/7373/7380/7386) 38Wh 3-cell Replacement Laptop Battery - F62G0 0F62G0,Dhs. 170.00,,,
Battery for Apple MacBook Pro 13-inch A2159 (EMC 3301) (Mid 2019),Dhs. 320.00,,,
7.4V 52wh VFV59 W57CV GVD76 Laptop Battery compatible with DELL Latitude E7240 E7250 W57CV 0W57CV WD52H GVD76 VFV59,Dhs. 160.00,,,
"Dell 44t2r alienware 15 r3,  15 r4,  17 r4, 17 r5 – greentech li-ion 15.2v 68whr 4 cell battery 546ff, hf25d, MG2YH, 9NJM1 replacement laptop battery",Dhs. 310.00,,,
A1534 A1527 A1705 replacement Battery For Apple MacBook 12 inch Retina (Early 2015) Laptop Battery 6 cells,Dhs. 375.00,,,
"BK03XL HP Pavilion X360 14-BA010NC, Pavilion X360 14-BA037NS Replacement Laptop Battery",Dhs. 170.00,,,
"Compatible SR04XL battery for HP Omen 15-CE, Pavilion Gaming 15-CX, Pavilion POWER 15-CB",Dhs. 200.00,,,
"Dell Alienware 17 R4 15 R3 11.4v 99wh  0MG2YH, 9NJM1, HF250, MG2YH Tablet Series Replacement Laptop Battery",Dhs. 310.00,,,
Acer aspire v5-571 v5-471 v5-531 ak.004bt.097 replacement laptop battery,Dhs. 85.00,,,
