Name,Street Address,Zip Code,State,Phone,Fax,Email,Website,Category
Karlsruhe: Taxi-Holl,Pulverhausstr. 38,76135 Karlsruhe,Baden-Württemberg,+49 721 61 61 61,+49 721 56 50 5-45,info@taxi-karlsruhe.de,https://www.taxi-karlsruhe.de,Taxi-Zentralen
Mönchengladbach: Taxizentrale Mönchengladbach e.G.,Alsstr. 191,41063 Mönchengladbach,Nordrhein-Westfalen,+492161 13330,+492161 10077,info@taxizentrale-moenchengladbach.com,http://www.taxizentrale-moenchengladbach.de/page.php?1=,Taxi-Zentralen
Essen: Taxi Süd GbR,Max-Keith-Str. 44,45136 Essen,Nordrhein-Westfalen,+49201 269040,+49201 269072,info@taxisued.de,http://www.taxi-sued.de,Taxi-Zentralen
Aalen: Taxizentrale Aalen GbR,Bahnhofstr. 119,73430 Aalen,Baden-Württemberg,+49736168 507,taxizentrale-aalen@arcor.de,,http://www.taxi-aalen.de,Taxi-Zentralen
Potsdam: Taxi-Genossenschaft Potsdam e.G.,Gerlachstr. 41,14480 Potsdam,Brandenburg,+49331 292929,+49331 2002820 ,kontakt@taxi-potsdam.de,http://www.taxi-potsdam.de,Taxi-Zentralen
Rostock: Taxi-Genossenschaft Rostock eG,Beim Pingelshof 11,18146 Rostock,Mecklenburg-Vorpommern,+49381 685858,+49381 6593050,taxigeno@hansetaxi-rostock.de,http://www.hansetaxi-rostock.de/,Taxi-Zentralen
Münster: Taxiruf Münster GmbH,Lippstädter Str. 88,48155 Münster,Nordrhein-Westfalen,+4925125519,info@taxiruf-muenster.de,,http://www.taxi-muenster.de,Taxi-Zentralen
Wiesbaden: FTZ Funk-Taxi-Zentrale Wiesbaden GmbH,Alte Schmelze 19,65201 Wiesbaden,Hessen,+49611 1667834,+4969  25 00 00,info@taxi-wiesbaden.de,http://www.taxi-wiesbaden.de,Taxi-Zentralen
Wuppertal: Taxi Zentrale Wuppertal,Bornberg 44,42109 Wuppertal,Nordrhein-Westfalen,+49202 27545100,+4920227545106,info@taxi-wuppertal.de,http://www.taxi-wuppertal.de,Taxi-Zentralen
Oberhausen: Taxi Zentrale Oberhausen GmbH,Willy-Brandt-Platz 1,46045 Oberhausen,Nordrhein-Westfalen,+49208 22200,+49208 24089,service@taxitzo.de,http://www.taxitzo.de,Taxi-Zentralen
Frankfurt: Taxi24 Vermittlung e.G.,Homburger Str. 36,60486 Frankfurt am Main,Hessen,+4969 74747676,+4969 70790421,vorstand@taxi-frankfurt.eu,http://www.taxi24-frankfurt.eu,Taxi-Zentralen
Ratingen: Funk-Taxi-Union GmbH,Bahnstr. 22,40878 Ratingen,Nordrhein-Westfalen,+492102 25001,+492102 954930,mail@taxi-25001.de,http://www.taxi-25001.de,Taxi-Zentralen
Mainz: Taxi 910 910 / Allgemeine Funktaxizentrale Mainz eG,An der Fahrt 4,55124 Mainz,Rheinland-Pfalz,+496131 910910,+496131 9109155,info@taxi-mainz.de,http://www.taxi-mainz.de,Taxi-Zentralen
Ludwigshafen: Taxi-Zentrale Ludwigshafen e.V.,Goethestr. 10,67063 Ludwigshafen,Rheinland-Pfalz,+49621 525252,+49621 514073,info@taxi-lu.de,http://www.taxi-lu.de,Taxi-Zentralen
Chemnitz: Taxi-Genossenschaft Chemnitz eG,Werner-Seelenbinder-Str. 13,09120 Chemnitz,Sachsen,+49371 3690013,+493713690020,vorstand@taxi-chemnitz.de,http://www.taxi-chemnitz.de,Taxi-Zentralen
Heilbronn: Taxizentrale Heilbronn eG,Fontanestr.1,74074 Heilbronn,Baden-Württemberg,+497131 58555,+497131 585520,info@taxiheilbronn.de,http://www.taxiheilbronn.de,Taxi-Zentralen
Frankfurt: Taxi Frankfurt eG,Heidelbergerstr.  25,60327 Frankfurt,Hessen,+4969 23 00 01,info@taxi-frankfurt.de,,https://www.taxi-frankfurt.de,Taxi-Zentralen
Offenbach: Taxi-Funk Offenbach e.G.,Daimlerstr. 1,63071 Offenbach,Hessen,+4969 80222,+4969 80226,info@taxi-offenbach.de,http://www.taxi-offenbach.de,Taxi-Zentralen
Hanau: Taxi-Dienst Hanau Stadt und Land e.G.,Am Hauptbahnhof 14a ,63450 Hanau,Hessen,+496181 256025,+496181251212,info@taxi-hanau.de,http://www.taxi-hanau.de,Taxi-Zentralen
Wiesbaden: Wiesbadener Taxi–Zentrale Taxi und Funktaxi eG WTZ,Kreuzberger Ring 50,65205 Wiesbaden,Hessen,+49611 302520,+49611 301066,wtz@taxiwiesbaden.de,http://www.taxiwiesbaden.de/,Taxi-Zentralen
Hansestadt Wismar,Postfach 12 45,23952 Wismar,Mecklenburg-Vorpommern,+493841   2513235,+493841  2513203,BFreitag@wismar.de,http://www.wismar.de,Genehmigungsbehörden
Münster: Taxi Zentrale Münster e.G.,Krögerweg 14,48155 Münster,Nordrhein-Westfalen,+49251 987790,+49251 9877925,info@taxi-60011.de,http://www.taxizentrale-muenster.de,Taxi-Zentralen
Hansestadt Greifswald,Spiegelsdorfer Wende Haus 1,17491 Greifswald,Mecklenburg-Vorpommern,+493834   524110,+493834  524104,B.Kiesendahl@greifswald.de,http://www.greifswald.de,Genehmigungsbehörden
Fachverband Pkw-Verkehr Hessen e.V.,Wolfsangerstraße 100 ,34125 Kassel,Hessen,+49561 71817,+49561 104260,info@hvvt.de,http://www.fachverband-pkw.de/,Taxi-Verbände
Deutscher Taxi- und Mietwagenverband e.V. (BZP),Gerbermühlstraße 9,60594 Frankfurt am Main,Hessen,+4969 9596150,+4969 95961520,info@bzp.org,http://www.bzp.org/,Taxi-Verbände
Alb-Donau-Kreis,Schillerstraße 30,89077 Ulm,Baden-Württemberg,+49731   1851434,+49731  185221434,monika.hofmann@alb-donau-kreis.de,http://www.alb-donau-kreis.de,Genehmigungsbehörden
Hansestadt Rostock,Charles-Darwin-Ring 6,18059 Rostock,Mecklenburg-Vorpommern,+49381   3813207,+49381  3813284,Kerstin.Hansen@rostock.de,http://www.rostock.de,Genehmigungsbehörden
Hansestadt Stralsund,Postfach 2145,18408 Stralsund,Mecklenburg-Vorpommern,+493831   253742,+493831  25253742,jhoehndorf@stralsund.de,http://www.stralsund.de,Genehmigungsbehörden
IHK Ostbrandenburg,Puschkinstraße 12 b,15236 Frankfurt (Oder),Brandenburg,+49335 56211402,+49335  56211490,herner@ihk-ostbrandenburg.de,http://www.ihk-ostbrandenburg.de,IHK-Vertretungen
IHK Potsdam,Breite Straße 2 a - c,14467 Potsdam,Brandenburg,+49331 2786261,+49331  2786293,josephine.grosser@ihk-potsdam.de,http://www.potsdam.ihk24.de,IHK-Vertretungen
Donnersbergkreis,Uhlandstraße 2,67292 Kirchheimbolanden,Rheinland-Pfalz,+496352   7100,+496352  710232,njung@donnersberg.de,http://www.donnersberg.de,Genehmigungsbehörden
Bonn: Taxi Bonn e.G.,Mackestr. 32,53119 Bonn,Nordrhein-Westfalen,+49228 5555500,+49228  5555522,info@taxibonn.de,http://www.taxibonn.de,Taxi-Zentralen
IHK Koblenz,Schloßstr. 2,56068 Koblenz,Rheinland-Pfalz,+49261 106256,+49261 106292,kraft@koblenz.ihk.de,http://www.ihk-koblenz.de,IHK-Vertretungen
