URL,Street Address,City,State,Zip,Last Sold Date,Price,Listed,Lot Area
https://www.trulia.com/home/Coriander-Pinetta-FL-32350-307388157,NE Coriander Loop,Pinetta,FL,32350,"Last Sold: Jul 28, 2022","$30,000",No Info,(on 10.11 acres)
https://www.trulia.com/home/2079-NW-County-Road-140-Greenville-FL-32331-2104384343,2079 NW County Road 140,Greenville,FL,32331,"Last Sold: Aug 4, 2022","$165,000",180+ days ago,(on 34 acres)
https://www.trulia.com/home/0-SW-Wire-Rd-2-Madison-FL-32340-2064213717,SW Wire Rd   #2,Madison,FL,32340,"Last Sold: Aug 3, 2022","$88,000",160 days ago,(on 40 acres)
https://www.trulia.com/home/Vacant-Midway-Church-Lee-FL-32059-2062642654,Vacant Midway Church Rd,Lee,FL,32059,"Last Sold: Aug 4, 2022","$155,000",180+ days ago,(on 20 acres)
https://www.trulia.com/home/0-SE-Black-Hawk-Dr-Lee-FL-32059-2062526158,SE Black Hawk Dr,Lee,FL,32059,"Last Sold: Jul 26, 2022","$47,900",180+ days ago,(on 5.07 acres)
https://www.trulia.com/home/Tbd-W-9th-Greenville-FL-32331-2117273843,Tbd W 9th Ct,Greenville,FL,32331,"Last Sold: Oct 4, 2022","$39,000",170 days ago,(on 5 acres)
https://www.trulia.com/p/fl/lee/676-se-pow-wow-st-lee-fl-32059--2092506140,676 SE Pow Wow St,Lee,FL,32059,"Last Sold: Jul 27, 2022","$240,000",180+ days ago,(on 15 acres)
https://www.trulia.com/home/4320-NE-Chervil-Dr-Lee-FL-32059-98470898,4320 NE Chervil Dr,Lee,FL,32059,"Last Sold: Aug 10, 2022","$67,000",152 days ago,(on 10.98 acres)
https://www.trulia.com/home/Vacant-Sw-Gaskin-Madison-FL-32340-2065882695,Vacant Sw Gaskin Way,Madison,FL,32340,"Last Sold: Aug 15, 2022","$44,500",180+ days ago,(on 6.10 acres)
https://www.trulia.com/home/Nixon-Madison-FL-32340-98426698,NE Nixon Ave,Madison,FL,32340,"Last Sold: Aug 1, 2022","$30,000",No Info,(on 5 acres)
https://www.trulia.com/p/fl/lee/9293-se-county-road-255-lee-fl-32059--2202263400,9293 SE County Road 255,Lee,FL,32059,"Last Sold: Aug 23, 2022","$300,000",180+ days ago,(on 20 acres)
https://www.trulia.com/p/fl/madison/203-nw-harbor-seal-ln-madison-fl-32340--2092713183,203 NW Harbor Seal Ln,Madison,FL,32340,"Last Sold: Aug 8, 2022","$285,000",132 days ago,(on 5.02 acres)
https://www.trulia.com/p/fl/lee/1515-ne-beulah-church-rd-lee-fl-32059--2346899993,1515 NE Beulah Church Rd,Lee,FL,32059,"Last Sold: Aug 9, 2022","$150,000",180+ days ago,(on 5 acres)
https://www.trulia.com/home/Beulah-Church-Lee-FL-32059-96750479,NE Beulah Church Rd,Lee,FL,32059,"Last Sold: Aug 11, 2022","$39,000",151 days ago,(on 5 acres)
https://www.trulia.com/home/0-NE-Nixon-Way-Madison-FL-32340-2069442126,NE Nixon Way,Madison,FL,32340,"Last Sold: Aug 5, 2022","$39,000",151 days ago,(on 5.45 acres)
https://www.trulia.com/home/Gaskin-Madison-FL-32340-98406257,SW Gaskin Way,Madison,FL,32340,"Last Sold: Aug 15, 2022","$44,500",No Info,(on 6.10 acres)
https://www.trulia.com/home/11538-S-County-Road-53-Lee-FL-32059-2062725534,11538 S  County Road 53,Lee,FL,32059,"Last Sold: Jul 22, 2022","$45,000",180+ days ago,(on 5.01 acres)
https://www.trulia.com/p/fl/madison/508-nw-coachwhip-ave-madison-fl-32340--2092715251,508 NW Coachwhip Ave,Madison,FL,32340,"Last Sold: Aug 26, 2022","$125,000",137 days ago,(on 6 acres)
https://www.trulia.com/home/0-NE-River-Park-Rd-13-Lee-FL-32059-2063400648,NE River Park Rd   #13,Lee,FL,32059,"Last Sold: Jul 22, 2022","$92,450",180+ days ago,(on 43 acres)
https://www.trulia.com/home/1486-NE-Blue-Ridge-Landing-Ave-Lee-FL-32059-299178159,1486 NE Blue Ridge Landing Ave,Lee,FL,32059,"Last Sold: Aug 25, 2022","$38,500",180+ days ago,(on 5 acres)
https://www.trulia.com/home/Vacant-255-Lee-FL-32059-2075349999,Vacant SE #255,Lee,FL,32059,"Last Sold: Aug 24, 2022","$155,000",180+ days ago,(on 20 acres)
https://www.trulia.com/home/Gooseberry-Lee-FL-32059-98433889,NE Gooseberry St,Lee,FL,32059,"Last Sold: Aug 30, 2022","$75,000",No Info,(on 10.01 acres)
https://www.trulia.com/p/fl/madison/416-nw-appaloosa-way-madison-fl-32340--2400006878,416 NW Appaloosa Way,Madison,FL,32340,"Last Sold: Sep 2, 2022","$760,000",No Info,(on 223.72 acres)
https://www.trulia.com/p/fl/greenville/7638-sw-sundown-creek-rd-greenville-fl-32331--2092709355,7638 SW Sundown Creek Rd,Greenville,FL,32331,"Last Sold: Aug 26, 2022","$25,000",No Info,(on 8 acres)
https://www.trulia.com/p/fl/madison/556-nw-circle-rd-madison-fl-32340--2092715395,556 NW Circle Rd,Madison,FL,32340,"Last Sold: Sep 9, 2022","$450,000",180+ days ago,(on 20.21 acres)
https://www.trulia.com/home/7711-SW-Hike-Lake-Rd-Madison-FL-32340-307388129,7711 SW Hike Lake Rd,Madison,FL,32340,"Last Sold: Sep 1, 2022","$143,000",152 days ago,(on 41.21 acres)
https://www.trulia.com/p/fl/madison/283-ne-nixon-way-madison-fl-32340--2092713979,283 NE Nixon Way,Madison,FL,32340,"Last Sold: Sep 9, 2022","$235,000",180+ days ago,(on 5.10 acres)
https://www.trulia.com/home/0-Loper-Pond-Rd-Madison-FL-32340-2064206076,Loper Pond Rd,Madison,FL,32340,"Last Sold: Sep 19, 2022","$60,000",106 days ago,(on 5 acres)
https://www.trulia.com/p/fl/lee/165-se-breckenridge-dr-lee-fl-32059--2194157368,165 SE Breckenridge Dr,Lee,FL,32059,"Last Sold: Sep 9, 2022","$250,000",123 days ago,(on 5.01 acres)
https://www.trulia.com/p/fl/lee/239-se-indian-head-trl-lee-fl-32059--2092505311,239 SE Indian Head Trl,Lee,FL,32059,"Last Sold: Sep 21, 2022","$80,000",No Info,(on 10.04 acres)
https://www.trulia.com/home/0-SW-Wire-Rd-3-Madison-FL-32340-2064213716,SW Wire Rd   #3,Madison,FL,32340,"Last Sold: Sep 14, 2022","$100,000",118 days ago,(on 47 acres)
https://www.trulia.com/home/Vacant-Ne-Daisy-Madison-FL-32340-2064262618,Vacant Ne Daisy St,Madison,FL,32340,"Last Sold: Sep 16, 2022","$65,000",180+ days ago,(on 10.50 acres)
https://www.trulia.com/p/fl/madison/1968-w-us-90-madison-fl-32340--2121744297,1968 W  US 90,Madison,FL,32340,as of ,"$312,700",No Info,(on 5.62 acres)
https://www.trulia.com/home/Vacant-Nw-Loper-Pond-Plantation-Madison-FL-32340-2062377316,Vacant Nw Loper Pond Plantation Rd,Madison,FL,32340,"Last Sold: Sep 23, 2022","$55,000",180+ days ago,(on 5 acres)
https://www.trulia.com/home/Breckenridge-Madison-FL-32340-98466586,SE Breckenridge Dr,Madison,FL,32340,"Last Sold: Sep 27, 2022","$63,000",No Info,(on 5.01 acres)
https://www.trulia.com/p/fl/greenville/2-way-e-greenville-fl-32331--2345694853,2 Way E,Greenville,FL,32331,"Last Sold: Sep 22, 2022","$27,500",No Info,(on 5 acres)
https://www.trulia.com/p/fl/pinetta/3523-ne-bellville-rd-pinetta-fl-32350--2092722942,3523 NE Bellville Rd,Pinetta,FL,32350,"Last Sold: Oct 3, 2022","$240,000",134 days ago,(on 11.58 acres)
https://www.trulia.com/home/Loper-Plantation-Madison-FL-32340-246824388,NW Loper Plantation Rd,Madison,FL,32340,"Last Sold: Oct 4, 2022","$55,000",No Info,(on 5 acres)
https://www.trulia.com/home/Country-Kitchen-Madison-FL-32340-98493423,NE Country Kitchen Rd,Madison,FL,32340,"Last Sold: Sep 1, 2022","$43,500",No Info,(on 5 acres)
