Yelp URL,Name,Street Address,Zip Code,City,State,Price Range,Phone,Rating,Number of Reviews,Website,Menu Link,Image 1,Image 2,Image 3,Category 1,Category 2,Category 3
https://www.yelp.com/biz/acre-41-austin,Acre 41,1901 San Antonio St ,78705,Austin,TX,$$$,(737) 243-9020,4,156,www.acre41austin.com,www.acre41austin.com/austin-tx-steakhouse-menu,https://s3-media0.fl.yelpcdn.com/bphoto/CWQhN3dq8Kw-7v3F912jyA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/DqthD1E1evqNBnTVikb8nw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/apNEBXlWC3ZjqnHVlVb2yw/l.jpg,American (New),Breakfast & Brunch,Steakhouses
https://www.yelp.com/biz/caroline-austin-2,Caroline, ,,,,$$,(512) 982-6766,4,1153,www.CarolineRestaurant.com,www.carolinerestaurant.com/caroline,https://s3-media0.fl.yelpcdn.com/bphoto/2hjq3eN8WL-DaeDaaPSdkw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/RBhW6AdTb41u9lHhFIN94Q/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/uPajjYIfSlmsIG8qb95rYA/l.jpg,Bakeries,American (New),Breakfast & Brunch
https://www.yelp.com/biz/golden-tiger-austin,Golden Tiger,1816 E 6th St ,78702,Austin,TX,$$,,4,147,www.Goldentigeratx.com,www.goldentigeratx.com/menu,https://s3-media0.fl.yelpcdn.com/bphoto/KtbW0Z_lbcgEPsq_ympOSQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/yOtoMV5MApSss30wsVG8mA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/NeUXx8ecwj8ZBJw2hmAemA/l.jpg,Food Trucks,Comfort Food,Sandwiches
https://www.yelp.com/biz/bufalina-austin-4,Bufalina,2215 E Cesar Chavez St ,78702,Austin,TX,,(512) 394-5337,4.5,25,www.bufalinapizza.com,www.bufalinapizza.com/%23menus,https://s3-media0.fl.yelpcdn.com/bphoto/Pahqf0Z4mL71oOjEa6rFPQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/BmrrSXQ9v2qhegY2nTApSg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/vdMtq2v_9xml9MHbX6dFsg/l.jpg,Pizza,Italian,Desserts
https://www.yelp.com/biz/jack-allens-kitchen-austin-18,Jack Allen's Kitchen,3600 North Capital Of Texas Hwy Bldg D,78746,Austin,TX,$$,(512) 351-9399,4.5,581,www.jackallenskitchen.com,jackallenskitchen.com/location/360-2/%23menus,https://s3-media0.fl.yelpcdn.com/bphoto/VAFJCLmqN0QnEov4Bc8NlQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/aENizL4yBb7fvJq6keVwVw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/A0_1xxx25wo3j18Edim4pQ/l.jpg,Southern,American (Traditional),
https://www.yelp.com/biz/koriente-austin,Koriente,621 E 7th St ,78701,Austin,TX,$$,(512) 275-0852,4.5,1862,www.koriente.com/,www.koriente.com/menu.html,https://s3-media0.fl.yelpcdn.com/bphoto/CRcjYv-bFwX6LazWytj43w/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/EY-_RsGH3TtI75O_p4tsPA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/JAENxBJaawYyidOcAYmzVQ/l.jpg,Asian Fusion,Gluten-Free,Salad
https://www.yelp.com/biz/gather-and-forge-austin,Gather & Forge, ,,,,,(737) 843-0219,5,108,www.gatherandforge.com,,https://s3-media0.fl.yelpcdn.com/bphoto/sTNRlA1kPts0RNyJ4it4Rg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/3LlWaw_8etM8IkTvVGlmIQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/N5YFAde47x3Fr4h8stm6DQ/l.jpg,Personal Chefs,Supper Clubs,Cooking Classes
https://www.yelp.com/biz/revue-austin-3,REVUE,101 Red River St ,78701,Austin,TX,$$,(512) 524-4813,4,129,www.revueatx.com,www.revueatx.com,https://s3-media0.fl.yelpcdn.com/bphoto/PZ0RB4lw1BqqEb-8-O9NnQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/alZTfMZWL0J-6shxYREEiA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/N6EO-HEQ6ZQywdq_OXWUBw/l.jpg,Italian,Breakfast & Brunch,Bars
https://www.yelp.com/biz/emmer-and-rye-austin,Emmer & Rye,51 Rainey St ,78701,Austin,TX,$$$,(512) 366-5530,4,815,www.emmerandrye.com,emmerandrye.com/menu,https://s3-media0.fl.yelpcdn.com/bphoto/gKjuTllUba3C8MsCUkqe1Q/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/oCGXZsaKSHABxSCkD5GgHw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/2iMfaJ_o040xko6ebpzUcQ/l.jpg,Tapas/Small Plates,American (New),
https://www.yelp.com/biz/err-thing-new-orleans-austin-2,Err Thing New Orleans,1309 W 45th St ,78756,Austin,TX,,,5,16,,,https://s3-media0.fl.yelpcdn.com/bphoto/cYe4QucRKzpn3-Ux1vRRPg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Hj84Ofdr9VcFS67wF83dQA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/ZLbIuDlhftCQVwFFggCcdQ/l.jpg,Food Trucks,Soul Food,Seafood
